id,ling_id,property_id,value,group_id,creator_id
65,36,35,2,group_0,user_0_6
66,6,17,4,group_0,user_0_5
67,12,31,0,group_0,user_0_4
68,41,1,3,group_0,user_0_2
69,36,39,3,group_0,user_0_1
70,41,22,3,group_0,user_0_3
71,33,39,2,group_0,user_0_6
72,41,11,0,group_0,user_0_1
73,12,26,1,group_0,user_0_1
74,33,12,4,group_0,user_0_3
75,6,21,1,group_0,user_0_4
76,17,22,4,group_0,user_0_4
77,0,3,2,group_0,user_0_9
78,33,29,4,group_0,user_0_7
80,6,39,0,group_0,user_0_5
82,41,31,1,group_0,user_0_0
83,12,17,3,group_0,user_0_7
84,36,26,3,group_0,user_0_2
86,0,18,3,group_0,user_0_4
87,41,18,1,group_0,user_0_6
88,12,29,2,group_0,user_0_8
90,36,3,4,group_0,user_0_5
91,33,22,2,group_0,user_0_5
92,12,29,4,group_0,user_0_3
93,22,11,1,group_0,user_0_4
94,0,22,3,group_0,user_0_4
95,12,39,3,group_0,user_0_4
96,0,17,0,group_0,user_0_5
97,0,1,0,group_0,user_0_2
99,36,16,3,group_0,user_0_8
101,22,16,3,group_0,user_0_6
102,33,22,1,group_0,user_0_2
104,36,29,0,group_0,user_0_4
105,33,26,3,group_0,user_0_7
106,22,21,4,group_0,user_0_7
107,17,1,2,group_0,user_0_8
108,36,3,2,group_0,user_0_1
110,36,17,3,group_0,user_0_2
111,0,3,3,group_0,user_0_5
112,41,11,2,group_0,user_0_4
113,36,11,2,group_0,user_0_6
114,0,11,1,group_0,user_0_1
116,36,35,1,group_0,user_0_5
117,0,35,2,group_0,user_0_4
118,6,35,2,group_0,user_0_8
120,12,21,1,group_0,user_0_7
121,36,12,3,group_0,user_0_2
122,41,3,2,group_0,user_0_7
123,17,15,3,group_0,user_0_2
124,6,18,1,group_0,user_0_6
125,12,22,0,group_0,user_0_2
126,12,15,2,group_0,user_0_8
127,22,35,2,group_0,user_0_2
129,12,18,2,group_0,user_0_1
130,12,21,3,group_0,user_0_1
131,17,18,1,group_0,user_0_1
132,33,16,2,group_0,user_0_3
133,36,12,1,group_0,user_0_6
135,33,1,3,group_0,user_0_7
138,6,1,2,group_0,user_0_6
139,22,16,2,group_0,user_0_6
140,41,26,2,group_0,user_0_1
141,6,35,0,group_0,user_0_4
142,41,3,1,group_0,user_0_4
143,22,39,2,group_0,user_0_0
144,0,39,2,group_0,user_0_5
145,17,22,2,group_0,user_0_4
146,41,3,3,group_0,user_0_4
147,33,26,0,group_0,user_0_2
148,22,29,3,group_0,user_0_2
149,41,26,0,group_0,user_0_5
150,17,29,0,group_0,user_0_6
152,6,31,3,group_0,user_0_0
153,0,31,1,group_0,user_0_4
154,33,3,3,group_0,user_0_0
155,6,39,1,group_0,user_0_1
156,0,39,3,group_0,user_0_9
158,12,15,1,group_0,user_0_1
159,36,15,2,group_0,user_0_8
160,6,22,2,group_0,user_0_9
161,41,18,2,group_0,user_0_4
162,6,31,0,group_0,user_0_8
163,6,15,0,group_0,user_0_4
164,41,12,1,group_0,user_0_5
165,0,29,2,group_0,user_0_1
166,6,1,3,group_0,user_0_7
169,36,12,0,group_0,user_0_6
170,33,29,1,group_0,user_0_3
171,17,17,3,group_0,user_0_9
172,12,3,2,group_0,user_0_3
173,33,16,3,group_0,user_0_7
174,36,39,1,group_0,user_0_8
175,41,39,0,group_0,user_0_2
176,41,21,1,group_0,user_0_0
177,41,18,0,group_0,user_0_2
178,33,35,4,group_0,user_0_5
179,22,11,0,group_0,user_0_5
180,17,11,4,group_0,user_0_4
181,36,26,4,group_0,user_0_8
184,22,3,1,group_0,user_0_7
185,0,21,2,group_0,user_0_9
187,17,21,0,group_0,user_0_2
188,22,26,1,group_0,user_0_3
190,17,12,2,group_0,user_0_4
192,6,12,1,group_0,user_0_1
193,33,1,0,group_0,user_0_6
194,12,11,1,group_0,user_0_7
195,22,31,4,group_0,user_0_7
196,22,18,4,group_0,user_0_5
197,0,18,4,group_0,user_0_8
198,36,35,4,group_0,user_0_5
200,33,31,4,group_0,user_0_2
201,22,15,0,group_0,user_0_4
202,22,18,1,group_0,user_0_8
203,6,18,0,group_0,user_0_2
204,36,16,4,group_0,user_0_3
205,0,1,2,group_0,user_0_9
206,6,39,2,group_0,user_0_2
207,6,15,2,group_0,user_0_0
208,33,15,0,group_0,user_0_9
209,33,35,3,group_0,user_0_2
210,17,26,3,group_0,user_0_9
214,22,39,3,group_0,user_0_8
215,0,15,2,group_0,user_0_6
216,36,1,2,group_0,user_0_5
217,41,16,4,group_0,user_0_2
218,33,26,1,group_0,user_0_1
219,41,1,1,group_0,user_0_4
221,22,12,4,group_0,user_0_9
222,12,16,1,group_0,user_0_7
223,12,12,0,group_0,user_0_9
225,41,12,2,group_0,user_0_2
226,36,39,0,group_0,user_0_4
228,22,35,3,group_0,user_0_5
229,22,15,3,group_0,user_0_0
230,33,31,1,group_0,user_0_2
232,36,15,3,group_0,user_0_0
235,36,31,0,group_0,user_0_1
236,17,26,2,group_0,user_0_9
238,33,17,3,group_0,user_0_1
241,41,35,2,group_0,user_0_9
242,12,35,2,group_0,user_0_4
243,33,3,0,group_0,user_0_9
244,6,22,4,group_0,user_0_9
247,17,29,4,group_0,user_0_1
249,6,18,3,group_0,user_0_7
250,6,18,2,group_0,user_0_2
251,0,12,0,group_0,user_0_1
252,33,16,1,group_0,user_0_5
253,22,39,0,group_0,user_0_5
254,17,15,1,group_0,user_0_1
258,33,1,2,group_0,user_0_2
259,36,22,4,group_0,user_0_4
260,41,1,4,group_0,user_0_4
262,12,35,4,group_0,user_0_5
263,6,12,3,group_0,user_0_0
264,22,26,3,group_0,user_0_4
265,0,16,3,group_0,user_0_1
266,22,18,0,group_0,user_0_4
267,41,29,1,group_0,user_0_8
268,33,21,2,group_0,user_0_0
269,22,29,0,group_0,user_0_4
270,12,29,1,group_0,user_0_7
276,36,17,2,group_0,user_0_7
277,0,39,0,group_0,user_0_0
278,6,17,1,group_0,user_0_5
279,17,12,3,group_0,user_0_1
280,12,18,3,group_0,user_0_5
281,22,11,3,group_0,user_0_5
282,0,15,3,group_0,user_0_8
283,22,15,2,group_0,user_0_7
284,17,16,2,group_0,user_0_9
287,0,31,2,group_0,user_0_0
288,12,17,1,group_0,user_0_6
290,6,12,2,group_0,user_0_1
297,33,17,2,group_0,user_0_1
298,6,21,3,group_0,user_0_0
300,6,16,2,group_0,user_0_6
303,0,18,1,group_0,user_0_7
304,12,21,2,group_0,user_0_7
305,0,1,3,group_0,user_0_4
306,12,26,2,group_0,user_0_7
309,22,3,4,group_0,user_0_4
310,33,18,2,group_0,user_0_7
312,6,35,1,group_0,user_0_7
314,33,15,3,group_0,user_0_9
315,36,21,1,group_0,user_0_5
316,0,22,2,group_0,user_0_6
317,22,31,2,group_0,user_0_0
318,22,15,4,group_0,user_0_9
320,36,15,4,group_0,user_0_2
322,12,31,4,group_0,user_0_7
325,41,39,3,group_0,user_0_0
326,22,21,1,group_0,user_0_3
327,12,21,4,group_0,user_0_6
330,17,17,0,group_0,user_0_0
332,22,31,3,group_0,user_0_0
334,6,26,1,group_0,user_0_1
337,6,12,4,group_0,user_0_0
338,0,11,0,group_0,user_0_6
339,0,15,1,group_0,user_0_4
340,41,3,0,group_0,user_0_2
341,0,21,0,group_0,user_0_1
342,0,12,2,group_0,user_0_7
343,41,39,1,group_0,user_0_0
344,41,11,4,group_0,user_0_9
345,6,26,4,group_0,user_0_5
346,17,35,3,group_0,user_0_8
351,6,35,4,group_0,user_0_9
355,22,26,4,group_0,user_0_4
356,17,3,0,group_0,user_0_8
358,6,17,2,group_0,user_0_3
359,33,17,0,group_0,user_0_3
360,12,16,0,group_0,user_0_4
361,17,39,3,group_0,user_0_6
366,0,35,4,group_0,user_0_9
367,36,31,2,group_0,user_0_3
371,36,18,0,group_0,user_0_9
372,41,29,4,group_0,user_0_4
374,36,39,2,group_0,user_0_2
375,33,29,0,group_0,user_0_4
376,33,1,4,group_0,user_0_6
377,41,16,3,group_0,user_0_3
378,22,29,2,group_0,user_0_5
380,0,31,3,group_0,user_0_0
381,36,15,0,group_0,user_0_4
382,0,12,1,group_0,user_0_8
383,12,11,0,group_0,user_0_4
385,17,31,1,group_0,user_0_2
386,36,29,1,group_0,user_0_7
387,36,11,3,group_0,user_0_3
390,17,12,4,group_0,user_0_3
392,17,3,4,group_0,user_0_3
393,12,16,4,group_0,user_0_9
398,22,11,4,group_0,user_0_0
399,0,17,3,group_0,user_0_5
401,33,15,1,group_0,user_0_0
402,17,35,0,group_0,user_0_9
404,6,3,1,group_0,user_0_8
407,22,15,1,group_0,user_0_9
408,6,15,1,group_0,user_0_8
409,6,11,0,group_0,user_0_9
411,0,1,4,group_0,user_0_2
412,0,16,1,group_0,user_0_5
413,6,22,3,group_0,user_0_7
417,0,11,2,group_0,user_0_9
424,22,31,0,group_0,user_0_2
425,12,18,1,group_0,user_0_0
426,33,18,0,group_0,user_0_2
427,33,22,4,group_0,user_0_4
429,36,17,0,group_0,user_0_6
430,0,16,4,group_0,user_0_2
434,41,17,4,group_0,user_0_7
436,22,21,3,group_0,user_0_5
438,12,31,2,group_0,user_0_7
440,22,16,0,group_0,user_0_7
443,36,29,2,group_0,user_0_4
446,33,39,4,group_0,user_0_4
448,6,26,0,group_0,user_0_7
449,17,12,0,group_0,user_0_2
450,41,17,3,group_0,user_0_1
451,22,1,2,group_0,user_0_8
453,6,26,3,group_0,user_0_4
455,12,18,4,group_0,user_0_1
456,41,35,4,group_0,user_0_6
457,0,26,0,group_0,user_0_9
458,41,11,3,group_0,user_0_6
459,6,16,3,group_0,user_0_4
463,0,26,2,group_0,user_0_4
464,17,17,2,group_0,user_0_9
465,36,29,4,group_0,user_0_5
468,0,29,1,group_0,user_0_7
473,17,18,4,group_0,user_0_4
474,6,11,4,group_0,user_0_6
476,0,29,0,group_0,user_0_8
480,33,17,4,group_0,user_0_4
482,33,1,1,group_0,user_0_1
484,12,31,3,group_0,user_0_4
485,6,11,2,group_0,user_0_1
487,41,31,2,group_0,user_0_2
489,33,3,2,group_0,user_0_9
500,12,21,0,group_0,user_0_0
507,6,29,2,group_0,user_0_0
510,41,26,4,group_0,user_0_0
511,6,15,3,group_0,user_0_2
513,33,31,3,group_0,user_0_9
514,36,18,4,group_0,user_0_7
517,22,22,0,group_0,user_0_7
518,17,29,1,group_0,user_0_1
519,12,39,2,group_0,user_0_9
520,36,11,0,group_0,user_0_6
521,22,12,1,group_0,user_0_7
524,6,31,1,group_0,user_0_0
525,17,26,0,group_0,user_0_6
528,36,11,1,group_0,user_0_4
531,17,18,2,group_0,user_0_4
533,41,21,3,group_0,user_0_6
535,17,35,1,group_0,user_0_0
536,41,16,2,group_0,user_0_8
537,12,29,0,group_0,user_0_3
538,33,21,4,group_0,user_0_5
541,33,11,4,group_0,user_0_0
543,12,12,1,group_0,user_0_9
544,22,22,4,group_0,user_0_7
547,22,22,2,group_0,user_0_4
548,12,39,1,group_0,user_0_1
549,0,22,0,group_0,user_0_0
550,22,35,4,group_0,user_0_8
554,17,31,2,group_0,user_0_8
557,0,22,1,group_0,user_0_8
558,33,21,1,group_0,user_0_8
559,12,35,1,group_0,user_0_2
560,36,35,3,group_0,user_0_8
561,17,3,2,group_0,user_0_7
563,0,21,3,group_0,user_0_6
565,36,21,2,group_0,user_0_3
572,0,3,0,group_0,user_0_4
574,6,31,2,group_0,user_0_9
578,22,12,3,group_0,user_0_1
580,36,31,3,group_0,user_0_4
582,12,12,4,group_0,user_0_0
583,36,39,4,group_0,user_0_9
588,22,35,1,group_0,user_0_5
595,33,12,0,group_0,user_0_2
597,22,3,2,group_0,user_0_5
598,22,3,0,group_0,user_0_4
601,12,26,0,group_0,user_0_4
604,33,12,2,group_0,user_0_3
605,36,3,1,group_0,user_0_7
606,36,17,1,group_0,user_0_8
608,33,21,3,group_0,user_0_3
610,41,31,4,group_0,user_0_3
612,6,39,3,group_0,user_0_7
613,41,17,2,group_0,user_0_9
615,6,22,0,group_0,user_0_7
616,33,12,3,group_0,user_0_4
620,41,16,1,group_0,user_0_0
626,6,3,2,group_0,user_0_8
630,6,35,3,group_0,user_0_4
631,6,3,3,group_0,user_0_2
632,17,22,0,group_0,user_0_6
633,36,12,2,group_0,user_0_9
643,41,35,3,group_0,user_0_5
650,6,17,3,group_0,user_0_4
651,41,31,0,group_0,user_0_5
652,41,26,3,group_0,user_0_0
653,41,1,2,group_0,user_0_2
655,17,16,4,group_0,user_0_6
656,36,3,0,group_0,user_0_1
659,36,15,1,group_0,user_0_5
661,0,12,3,group_0,user_0_4
664,6,31,4,group_0,user_0_5
665,0,17,1,group_0,user_0_5
667,6,3,0,group_0,user_0_3
669,17,21,3,group_0,user_0_0
671,12,26,3,group_0,user_0_8
674,12,11,2,group_0,user_0_8
677,0,12,4,group_0,user_0_4
679,22,17,4,group_0,user_0_8
681,6,26,2,group_0,user_0_2
685,12,15,4,group_0,user_0_3
689,22,16,4,group_0,user_0_3
691,33,21,0,group_0,user_0_5
693,22,12,2,group_0,user_0_3
694,0,17,2,group_0,user_0_8
695,41,18,4,group_0,user_0_5
699,41,26,1,group_0,user_0_0
707,41,15,3,group_0,user_0_3
712,22,17,0,group_0,user_0_5
716,33,39,0,group_0,user_0_8
718,17,17,1,group_0,user_0_7
730,22,21,0,group_0,user_0_3
731,17,17,4,group_0,user_0_4
736,36,17,4,group_0,user_0_1
739,0,22,4,group_0,user_0_6
740,33,11,1,group_0,user_0_2
743,12,22,3,group_0,user_0_9
746,41,22,0,group_0,user_0_5
760,17,18,0,group_0,user_0_2
761,33,39,3,group_0,user_0_0
762,36,22,3,group_0,user_0_8
763,36,31,4,group_0,user_0_9
767,17,3,1,group_0,user_0_2
770,41,12,3,group_0,user_0_1
774,17,15,2,group_0,user_0_3
778,33,31,2,group_0,user_0_6
780,36,26,0,group_0,user_0_8
782,0,29,3,group_0,user_0_7
786,12,15,0,group_0,user_0_7
791,22,18,2,group_0,user_0_0
794,6,16,0,group_0,user_0_6
796,36,29,3,group_0,user_0_8
797,36,16,2,group_0,user_0_7
798,33,18,1,group_0,user_0_4
804,12,18,0,group_0,user_0_6
805,12,39,4,group_0,user_0_4
806,12,17,4,group_0,user_0_3
808,33,22,0,group_0,user_0_7
811,6,29,1,group_0,user_0_7
822,36,16,1,group_0,user_0_7
832,22,16,1,group_0,user_0_5
836,22,21,2,group_0,user_0_7
842,41,21,2,group_0,user_0_5
845,36,1,1,group_0,user_0_4
853,17,22,3,group_0,user_0_2
854,33,3,1,group_0,user_0_0
856,22,17,3,group_0,user_0_6
868,12,1,0,group_0,user_0_6
869,33,29,2,group_0,user_0_0
872,6,3,4,group_0,user_0_1
881,36,3,3,group_0,user_0_8
890,6,12,0,group_0,user_0_7
896,0,15,4,group_0,user_0_6
903,33,16,4,group_0,user_0_6
914,33,11,3,group_0,user_0_7
917,12,39,0,group_0,user_0_2
924,36,11,4,group_0,user_0_5
937,22,22,3,group_0,user_0_5
941,36,12,4,group_0,user_0_7
943,17,15,4,group_0,user_0_5
954,0,26,4,group_0,user_0_0
957,6,29,3,group_0,user_0_6
958,36,16,0,group_0,user_0_4
962,12,16,3,group_0,user_0_7
963,41,15,0,group_0,user_0_3
965,36,1,3,group_0,user_0_0
975,12,17,0,group_0,user_0_3
986,0,29,4,group_0,user_0_1
989,12,31,1,group_0,user_0_4
991,33,15,2,group_0,user_0_3
994,22,17,2,group_0,user_0_8
995,22,39,1,group_0,user_0_8
999,0,26,1,group_0,user_0_2
1002,12,11,4,group_0,user_0_8
1003,0,11,3,group_0,user_0_4
1010,33,35,0,group_0,user_0_2
1011,12,3,1,group_0,user_0_9
1019,17,16,0,group_0,user_0_9
1022,17,26,4,group_0,user_0_2
1026,17,22,1,group_0,user_0_8
1030,6,18,4,group_0,user_0_7
1032,41,22,2,group_0,user_0_5
1040,0,16,0,group_0,user_0_6
1041,22,29,4,group_0,user_0_2
1067,22,12,0,group_0,user_0_7
1072,0,21,4,group_0,user_0_7
1079,41,18,3,group_0,user_0_8
1080,22,31,1,group_0,user_0_4
1103,36,22,1,group_0,user_0_8
1105,17,18,3,group_0,user_0_7
1108,12,3,4,group_0,user_0_2
1109,12,22,1,group_0,user_0_2
1114,17,11,1,group_0,user_0_0
1117,33,31,0,group_0,user_0_0
1127,33,26,4,group_0,user_0_3
1139,6,39,4,group_0,user_0_8
1144,17,35,2,group_0,user_0_1
1146,41,35,0,group_0,user_0_5
1150,6,1,0,group_0,user_0_2
1153,33,12,1,group_0,user_0_5
1174,36,22,0,group_0,user_0_9
1188,0,3,1,group_0,user_0_2
1212,0,17,4,group_0,user_0_9
1214,36,18,1,group_0,user_0_8
1222,6,21,4,group_0,user_0_5
1227,33,18,3,group_0,user_0_5
1231,12,1,4,group_0,user_0_2
1242,12,16,2,group_0,user_0_8
1255,17,16,3,group_0,user_0_0
1256,17,31,0,group_0,user_0_5
1269,41,22,4,group_0,user_0_3
1276,6,21,0,group_0,user_0_2
1282,36,22,2,group_0,user_0_3
1283,36,26,1,group_0,user_0_0
1289,36,35,0,group_0,user_0_5
1299,33,22,3,group_0,user_0_1
1308,12,22,4,group_0,user_0_1
1323,6,1,4,group_0,user_0_0
1329,12,1,2,group_0,user_0_6
1331,17,39,2,group_0,user_0_0
1335,22,1,4,group_0,user_0_4
1361,41,15,1,group_0,user_0_4
1364,33,26,2,group_0,user_0_7
1382,17,16,1,group_0,user_0_6
1384,41,15,2,group_0,user_0_6
1390,41,29,2,group_0,user_0_4
1402,17,39,4,group_0,user_0_3
1412,0,3,4,group_0,user_0_2
1417,12,35,3,group_0,user_0_5
1427,33,16,0,group_0,user_0_8
1435,41,29,3,group_0,user_0_0
1450,12,15,3,group_0,user_0_8
1451,12,11,3,group_0,user_0_3
1489,17,1,3,group_0,user_0_8
1502,0,31,0,group_0,user_0_7
1514,17,11,3,group_0,user_0_3
1527,17,11,2,group_0,user_0_1
1560,22,26,2,group_0,user_0_2
1597,33,39,1,group_0,user_0_2
1600,41,17,1,group_0,user_0_3
1601,6,29,0,group_0,user_0_6
1611,33,11,2,group_0,user_0_9
1612,12,29,3,group_0,user_0_8
1650,0,35,3,group_0,user_0_3
1671,6,11,3,group_0,user_0_0
1696,33,35,2,group_0,user_0_5
1758,41,17,0,group_0,user_0_0
1765,41,12,0,group_0,user_0_8
1802,12,12,2,group_0,user_0_6
1880,6,11,1,group_0,user_0_6
1921,17,29,2,group_0,user_0_6
2004,12,22,2,group_0,user_0_6
2013,17,1,0,group_0,user_0_6
2027,36,1,0,group_0,user_0_9
2035,0,39,4,group_0,user_0_2
2120,6,15,4,group_0,user_0_0
2199,22,18,3,group_0,user_0_9
2201,17,3,3,group_0,user_0_0
2221,22,39,4,group_0,user_0_1
2329,36,31,1,group_0,user_0_6
2392,17,15,0,group_0,user_0_0
2559,41,35,1,group_0,user_0_9
2601,12,3,0,group_0,user_0_4
2607,17,39,1,group_0,user_0_6
2639,6,16,4,group_0,user_0_5
2643,36,18,2,group_0,user_0_6
2768,0,35,1,group_0,user_0_8
2916,6,21,2,group_0,user_0_4
3152,33,15,4,group_0,user_0_2
3258,33,18,4,group_0,user_0_9
3516,0,1,1,group_0,user_0_4
3664,12,1,3,group_0,user_0_5
3688,0,15,0,group_0,user_0_4
3699,17,39,0,group_0,user_0_0
4164,22,35,0,group_0,user_0_7
4413,6,17,0,group_0,user_0_6
10000,55,42,2,group_0,user_0_1
10001,51,40,2,group_0,user_0_2
10002,55,47,4,group_0,user_0_7
10003,74,40,4,group_0,user_0_1
10004,69,46,2,group_0,user_0_5
10005,55,66,0,group_0,user_0_8
10006,74,57,3,group_0,user_0_9
10007,69,59,3,group_0,user_0_8
10008,75,42,4,group_0,user_0_7
10009,74,42,0,group_0,user_0_3
10010,69,47,0,group_0,user_0_1
10011,75,56,1,group_0,user_0_2
10012,74,56,3,group_0,user_0_8
10013,74,66,4,group_0,user_0_1
10014,74,59,1,group_0,user_0_7
10015,74,40,2,group_0,user_0_8
10016,74,40,0,group_0,user_0_2
10017,74,46,0,group_0,user_0_0
10018,55,56,4,group_0,user_0_0
10019,69,42,2,group_0,user_0_2
10021,51,56,1,group_0,user_0_5
10023,69,40,1,group_0,user_0_0
10024,75,57,3,group_0,user_0_5
10025,75,57,2,group_0,user_0_9
10026,69,57,0,group_0,user_0_1
10027,75,49,2,group_0,user_0_5
10028,69,42,1,group_0,user_0_9
10029,74,57,0,group_0,user_0_7
10030,51,57,3,group_0,user_0_3
10031,74,49,2,group_0,user_0_3
10032,51,59,1,group_0,user_0_2
10033,51,59,3,group_0,user_0_8
10034,51,47,1,group_0,user_0_5
10035,74,40,1,group_0,user_0_5
10036,51,47,3,group_0,user_0_1
10038,51,46,2,group_0,user_0_3
10039,75,47,1,group_0,user_0_3
10040,75,57,0,group_0,user_0_4
10042,55,59,1,group_0,user_0_9
10043,51,42,3,group_0,user_0_9
10044,51,56,0,group_0,user_0_4
10045,74,59,3,group_0,user_0_2
10046,51,49,0,group_0,user_0_7
10047,51,42,2,group_0,user_0_8
10048,55,56,3,group_0,user_0_2
10049,74,59,0,group_0,user_0_3
10050,55,59,3,group_0,user_0_1
10051,51,56,3,group_0,user_0_5
10052,69,47,2,group_0,user_0_3
10053,69,66,2,group_0,user_0_9
10054,55,66,3,group_0,user_0_3
10055,55,49,2,group_0,user_0_2
10056,69,42,4,group_0,user_0_9
10057,69,66,0,group_0,user_0_1
10058,55,57,1,group_0,user_0_5
10059,55,40,1,group_0,user_0_5
10061,51,56,2,group_0,user_0_6
10062,74,46,1,group_0,user_0_0
10066,55,59,4,group_0,user_0_9
10067,69,56,1,group_0,user_0_7
10068,55,40,3,group_0,user_0_8
10069,74,42,3,group_0,user_0_1
10070,55,40,4,group_0,user_0_1
10073,74,47,2,group_0,user_0_4
10075,75,59,3,group_0,user_0_8
10076,69,47,4,group_0,user_0_6
10080,75,47,4,group_0,user_0_2
10082,69,49,4,group_0,user_0_6
10083,55,57,0,group_0,user_0_0
10084,51,42,4,group_0,user_0_6
10086,55,47,1,group_0,user_0_5
10088,51,49,1,group_0,user_0_6
10089,55,47,3,group_0,user_0_3
10090,55,46,1,group_0,user_0_8
10091,69,42,0,group_0,user_0_9
10093,75,46,2,group_0,user_0_0
10094,69,59,1,group_0,user_0_7
10096,55,42,1,group_0,user_0_9
10098,55,56,2,group_0,user_0_7
10099,51,47,4,group_0,user_0_9
10100,55,57,3,group_0,user_0_4
10101,74,56,2,group_0,user_0_5
10102,74,47,0,group_0,user_0_0
10103,75,46,4,group_0,user_0_7
10104,55,56,1,group_0,user_0_5
10105,69,40,2,group_0,user_0_5
10106,74,66,2,group_0,user_0_0
10107,75,59,0,group_0,user_0_9
10108,69,40,4,group_0,user_0_3
10109,69,57,4,group_0,user_0_0
10111,75,47,3,group_0,user_0_5
10112,74,49,3,group_0,user_0_1
10113,55,46,2,group_0,user_0_7
10114,74,56,4,group_0,user_0_2
10117,69,40,3,group_0,user_0_2
10118,55,47,2,group_0,user_0_1
10119,51,57,0,group_0,user_0_9
10125,51,49,2,group_0,user_0_4
10129,55,66,4,group_0,user_0_3
10130,75,57,4,group_0,user_0_6
10131,75,56,2,group_0,user_0_3
10134,55,49,3,group_0,user_0_1
10135,75,66,1,group_0,user_0_2
10136,74,66,0,group_0,user_0_3
10137,75,46,3,group_0,user_0_4
10141,55,66,1,group_0,user_0_5
10142,55,46,4,group_0,user_0_1
10146,74,56,0,group_0,user_0_0
10147,69,49,1,group_0,user_0_5
10148,74,47,1,group_0,user_0_8
10149,69,66,4,group_0,user_0_2
10150,51,40,3,group_0,user_0_8
10151,51,66,0,group_0,user_0_4
10153,69,57,2,group_0,user_0_5
10155,74,57,2,group_0,user_0_0
10156,75,66,3,group_0,user_0_5
10157,55,49,0,group_0,user_0_2
10159,74,56,1,group_0,user_0_3
10160,55,47,0,group_0,user_0_9
10164,69,46,1,group_0,user_0_6
10167,75,57,1,group_0,user_0_7
10168,69,56,3,group_0,user_0_1
10170,51,49,4,group_0,user_0_4
10172,51,46,1,group_0,user_0_9
10173,74,49,0,group_0,user_0_2
10179,74,49,4,group_0,user_0_6
10183,51,66,1,group_0,user_0_8
10184,55,57,4,group_0,user_0_7
10185,69,42,3,group_0,user_0_5
10187,75,59,4,group_0,user_0_5
10188,74,40,3,group_0,user_0_2
10189,69,57,1,group_0,user_0_3
10190,51,46,4,group_0,user_0_1
10191,74,57,4,group_0,user_0_1
10192,69,56,2,group_0,user_0_9
10193,51,46,0,group_0,user_0_9
10194,69,46,4,group_0,user_0_7
10195,74,42,2,group_0,user_0_6
10196,74,59,2,group_0,user_0_9
10205,69,49,3,group_0,user_0_2
10208,55,49,4,group_0,user_0_5
10210,51,57,4,group_0,user_0_2
10216,55,42,0,group_0,user_0_9
10222,75,49,1,group_0,user_0_6
10223,51,40,4,group_0,user_0_5
10224,55,46,0,group_0,user_0_7
10225,69,47,3,group_0,user_0_5
10226,51,59,2,group_0,user_0_8
10234,69,49,2,group_0,user_0_4
10242,75,42,3,group_0,user_0_1
10245,55,59,0,group_0,user_0_7
10252,69,46,0,group_0,user_0_7
10255,75,49,0,group_0,user_0_5
10257,55,56,0,group_0,user_0_4
10258,69,66,3,group_0,user_0_1
10259,74,42,1,group_0,user_0_0
10264,69,46,3,group_0,user_0_8
10273,51,49,3,group_0,user_0_9
10279,74,57,1,group_0,user_0_8
10280,75,66,0,group_0,user_0_2
