id,example_id,lings_property_id,group_id,creator_id
103,20,1323,group_0,user_0_7
104,33,27,group_0,user_0_4
105,16,144,group_0,user_0_6
106,27,59,group_0,user_0_6
107,41,11,group_0,user_0_5
108,47,86,group_0,user_0_5
109,41,210,group_0,user_0_2
110,23,548,group_0,user_0_7
111,8,160,group_0,user_0_6
112,26,538,group_0,user_0_6
113,28,610,group_0,user_0_8
114,40,111,group_0,user_0_4
115,41,254,group_0,user_0_7
116,22,615,group_0,user_0_2
117,39,417,group_0,user_0_7
118,7,382,group_0,user_0_5
119,17,366,group_0,user_0_2
120,38,436,group_0,user_0_1
121,41,1026,group_0,user_0_3
122,0,340,group_0,user_0_7
123,45,1597,group_0,user_0_4
124,7,287,group_0,user_0_4
125,18,244,group_0,user_0_8
126,40,557,group_0,user_0_7
127,45,71,group_0,user_0_6
128,7,1040,group_0,user_0_7
129,14,986,group_0,user_0_6
131,6,626,group_0,user_0_9
132,24,2120,group_0,user_0_0
133,13,55,group_0,user_0_1
134,44,196,group_0,user_0_1
135,46,155,group_0,user_0_0
136,11,767,group_0,user_0_5
137,1,653,group_0,user_0_6
138,16,430,group_0,user_0_8
139,3,385,group_0,user_0_8
140,4,561,group_0,user_0_2
141,7,661,group_0,user_0_3
142,34,41,group_0,user_0_0
143,31,2559,group_0,user_0_1
144,6,39,group_0,user_0_3
145,26,238,group_0,user_0_5
146,14,1412,group_0,user_0_4
148,14,739,group_0,user_0_8
149,5,97,group_0,user_0_1
151,15,343,group_0,user_0_3
153,31,699,group_0,user_0_0
154,0,142,group_0,user_0_8
155,13,656,group_0,user_0_7
156,24,152,group_0,user_0_7
157,1,536,group_0,user_0_9
158,39,94,group_0,user_0_0
159,33,300,group_0,user_0_7
160,15,487,group_0,user_0_6
161,45,209,group_0,user_0_8
162,2,127,group_0,user_0_0
163,11,1256,group_0,user_0_3
164,47,16,group_0,user_0_3
165,5,61,group_0,user_0_0
166,1,372,group_0,user_0_8
167,47,13,group_0,user_0_4
168,46,166,group_0,user_0_3
169,2,597,group_0,user_0_6
170,38,588,group_0,user_0_1
171,10,69,group_0,user_0_3
172,39,185,group_0,user_0_9
173,33,459,group_0,user_0_9
174,31,1269,group_0,user_0_6
175,45,154,group_0,user_0_5
176,24,27,group_0,user_0_0
177,48,17,group_0,user_0_4
178,6,155,group_0,user_0_4
179,49,29,group_0,user_0_3
180,34,250,group_0,user_0_4
181,37,665,group_0,user_0_1
182,45,869,group_0,user_0_2
183,17,341,group_0,user_0_5
184,4,655,group_0,user_0_2
185,18,300,group_0,user_0_5
186,16,661,group_0,user_0_0
187,45,778,group_0,user_0_3
188,30,52,group_0,user_0_6
189,6,162,group_0,user_0_5
190,30,149,group_0,user_0_2
191,49,390,group_0,user_0_1
192,31,70,group_0,user_0_0
193,0,68,group_0,user_0_3
194,23,73,group_0,user_0_4
195,30,456,group_0,user_0_9
196,23,975,group_0,user_0_4
197,20,615,group_0,user_0_6
198,45,854,group_0,user_0_9
199,41,1489,group_0,user_0_8
200,30,510,group_0,user_0_9
201,8,27,group_0,user_0_1
202,20,80,group_0,user_0_4
203,32,316,group_0,user_0_7
204,17,694,group_0,user_0_0
205,31,241,group_0,user_0_6
206,19,94,group_0,user_0_8
207,34,290,group_0,user_0_2
208,5,3688,group_0,user_0_5
209,4,28,group_0,user_0_4
210,37,572,group_0,user_0_0
211,8,1222,group_0,user_0_1
212,33,155,group_0,user_0_5
213,37,1212,group_0,user_0_0
214,11,402,group_0,user_0_2
215,45,376,group_0,user_0_5
216,3,28,group_0,user_0_9
217,4,1114,group_0,user_0_5
218,10,121,group_0,user_0_8
219,34,664,group_0,user_0_9
220,24,203,group_0,user_0_1
221,14,549,group_0,user_0_0
222,17,77,group_0,user_0_9
223,6,404,group_0,user_0_5
224,39,303,group_0,user_0_3
225,4,29,group_0,user_0_7
226,2,378,group_0,user_0_0
227,12,4413,group_0,user_0_6
228,31,963,group_0,user_0_2
229,22,4413,group_0,user_0_9
230,45,427,group_0,user_0_9
231,32,54,group_0,user_0_7
232,3,1382,group_0,user_0_8
233,29,300,group_0,user_0_9
234,0,1079,group_0,user_0_4
235,25,270,group_0,user_0_9
236,8,811,group_0,user_0_1
237,39,1412,group_0,user_0_7
238,37,61,group_0,user_0_7
239,43,881,group_0,user_0_6
240,36,2601,group_0,user_0_5
241,46,626,group_0,user_0_5
242,8,138,group_0,user_0_5
243,47,463,group_0,user_0_9
244,25,172,group_0,user_0_9
245,0,43,group_0,user_0_6
246,12,626,group_0,user_0_6
247,18,872,group_0,user_0_3
248,16,665,group_0,user_0_5
249,4,123,group_0,user_0_2
250,18,631,group_0,user_0_0
251,21,665,group_0,user_0_7
252,40,215,group_0,user_0_4
253,38,266,group_0,user_0_8
254,24,290,group_0,user_0_4
256,6,312,group_0,user_0_7
257,35,535,group_0,user_0_4
258,12,485,group_0,user_0_0
259,28,1600,group_0,user_0_4
260,47,457,group_0,user_0_9
261,10,17,group_0,user_0_2
263,20,124,group_0,user_0_1
264,36,360,group_0,user_0_7
265,9,340,group_0,user_0_8
266,4,76,group_0,user_0_3
267,19,677,group_0,user_0_4
268,29,453,group_0,user_0_8
269,41,1256,group_0,user_0_7
270,21,468,group_0,user_0_2
271,37,94,group_0,user_0_6
272,18,612,group_0,user_0_2
273,45,34,group_0,user_0_7
274,15,225,group_0,user_0_9
275,43,2643,group_0,user_0_5
276,25,262,group_0,user_0_2
278,49,1514,group_0,user_0_3
279,35,2392,group_0,user_0_6
280,34,351,group_0,user_0_1
281,11,346,group_0,user_0_3
282,4,767,group_0,user_0_5
283,17,572,group_0,user_0_1
284,23,383,group_0,user_0_6
285,47,77,group_0,user_0_9
286,26,991,group_0,user_0_3
287,12,160,group_0,user_0_6
288,11,669,group_0,user_0_3
289,4,449,group_0,user_0_9
290,11,1382,group_0,user_0_7
291,0,613,group_0,user_0_4
292,20,459,group_0,user_0_0
293,33,334,group_0,user_0_3
294,37,215,group_0,user_0_6
295,14,46,group_0,user_0_3
296,17,3688,group_0,user_0_7
298,26,558,group_0,user_0_9
299,26,252,group_0,user_0_7
300,21,677,group_0,user_0_2
301,32,1040,group_0,user_0_2
302,22,1150,group_0,user_0_5
303,37,563,group_0,user_0_5
304,30,1269,group_0,user_0_8
305,49,1026,group_0,user_0_1
306,34,27,group_0,user_0_1
307,24,263,group_0,user_0_5
309,41,718,group_0,user_0_8
310,34,626,group_0,user_0_6
311,28,175,group_0,user_0_0
312,41,180,group_0,user_0_1
313,31,1390,group_0,user_0_0
314,7,303,group_0,user_0_7
315,7,4,group_0,user_0_3
316,14,2768,group_0,user_0_4
317,30,652,group_0,user_0_6
318,3,1022,group_0,user_0_2
319,38,269,group_0,user_0_3
320,6,75,group_0,user_0_4
322,38,106,group_0,user_0_6
323,48,216,group_0,user_0_5
324,27,1527,group_0,user_0_1
325,20,39,group_0,user_0_4
326,15,456,group_0,user_0_6
327,21,661,group_0,user_0_5
328,49,731,group_0,user_0_7
329,2,1,group_0,user_0_2
330,37,144,group_0,user_0_5
331,3,943,group_0,user_0_5
332,36,537,group_0,user_0_1
333,29,890,group_0,user_0_3
334,10,315,group_0,user_0_0
335,26,1427,group_0,user_0_2
336,44,228,group_0,user_0_0
337,12,408,group_0,user_0_0
338,0,620,group_0,user_0_5
339,26,1364,group_0,user_0_3
340,15,140,group_0,user_0_3
341,23,500,group_0,user_0_9
342,25,288,group_0,user_0_8
343,48,958,group_0,user_0_9
344,43,924,group_0,user_0_3
345,37,1650,group_0,user_0_3
346,29,1030,group_0,user_0_9
347,45,1117,group_0,user_0_3
348,3,330,group_0,user_0_3
350,26,869,group_0,user_0_8
351,30,122,group_0,user_0_5
352,17,114,group_0,user_0_8
353,35,1921,group_0,user_0_8
354,26,230,group_0,user_0_9
355,45,297,group_0,user_0_5
356,20,1601,group_0,user_0_7
357,39,205,group_0,user_0_8
358,4,1331,group_0,user_0_7
359,44,101,group_0,user_0_5
360,44,266,group_0,user_0_6
361,40,156,group_0,user_0_6
362,44,517,group_0,user_0_5
363,48,198,group_0,user_0_3
365,24,358,group_0,user_0_3
366,49,632,group_0,user_0_9
367,30,533,group_0,user_0_7
368,8,337,group_0,user_0_8
369,12,48,group_0,user_0_7
370,3,392,group_0,user_0_7
371,29,203,group_0,user_0_2
372,0,70,group_0,user_0_4
373,29,124,group_0,user_0_7
374,23,53,group_0,user_0_2
375,39,986,group_0,user_0_6
376,17,16,group_0,user_0_4
377,2,436,group_0,user_0_8
379,47,215,group_0,user_0_1
381,40,1412,group_0,user_0_3
382,1,1079,group_0,user_0_8
383,39,457,group_0,user_0_4
384,12,1671,group_0,user_0_7
386,38,202,group_0,user_0_3
387,27,42,group_0,user_0_8
388,30,1079,group_0,user_0_1
389,1,1390,group_0,user_0_8
390,20,300,group_0,user_0_0
391,4,402,group_0,user_0_2
392,26,1227,group_0,user_0_5
393,27,2013,group_0,user_0_7
394,21,96,group_0,user_0_3
395,4,1144,group_0,user_0_0
396,35,1256,group_0,user_0_2
397,37,86,group_0,user_0_8
398,47,476,group_0,user_0_6
399,37,153,group_0,user_0_4
400,27,561,group_0,user_0_6
402,35,247,group_0,user_0_4
403,8,612,group_0,user_0_1
404,43,14,group_0,user_0_7
405,36,1242,group_0,user_0_9
406,24,890,group_0,user_0_2
408,5,412,group_0,user_0_6
409,48,10,group_0,user_0_0
410,21,896,group_0,user_0_8
411,47,739,group_0,user_0_6
412,36,2004,group_0,user_0_0
413,40,265,group_0,user_0_4
414,37,205,group_0,user_0_2
415,8,681,group_0,user_0_1
416,11,1114,group_0,user_0_9
417,25,484,group_0,user_0_6
418,27,150,group_0,user_0_3
419,48,583,group_0,user_0_6
421,22,39,group_0,user_0_7
422,3,1026,group_0,user_0_9
423,14,782,group_0,user_0_0
424,4,1514,group_0,user_0_9
425,48,133,group_0,user_0_8
426,15,149,group_0,user_0_5
427,24,474,group_0,user_0_2
428,37,96,group_0,user_0_6
429,32,1072,group_0,user_0_4
431,21,35,group_0,user_0_7
432,15,31,group_0,user_0_2
433,19,999,group_0,user_0_8
434,45,173,group_0,user_0_9
435,48,822,group_0,user_0_6
436,2,517,group_0,user_0_0
437,42,558,group_0,user_0_2
439,1,43,group_0,user_0_4
440,18,138,group_0,user_0_9
441,3,42,group_0,user_0_6
442,46,312,group_0,user_0_9
443,30,344,group_0,user_0_4
444,40,382,group_0,user_0_4
445,20,631,group_0,user_0_7
446,11,2013,group_0,user_0_6
447,41,63,group_0,user_0_3
448,19,399,group_0,user_0_6
449,27,1489,group_0,user_0_3
450,25,425,group_0,user_0_1
451,43,84,group_0,user_0_9
452,13,514,group_0,user_0_3
453,43,796,group_0,user_0_5
454,16,572,group_0,user_0_2
455,24,1323,group_0,user_0_8
456,37,1003,group_0,user_0_8
457,32,35,group_0,user_0_3
458,33,681,group_0,user_0_3
459,9,325,group_0,user_0_5
461,15,241,group_0,user_0_4
462,29,404,group_0,user_0_8
463,41,1382,group_0,user_0_1
464,36,500,group_0,user_0_8
466,26,480,group_0,user_0_2
467,5,287,group_0,user_0_9
468,15,613,group_0,user_0_1
469,1,267,group_0,user_0_1
470,7,282,group_0,user_0_2
471,25,120,group_0,user_0_0
472,41,76,group_0,user_0_3
473,29,664,group_0,user_0_6
474,22,1323,group_0,user_0_1
476,14,677,group_0,user_0_0
477,40,342,group_0,user_0_1
478,38,598,group_0,user_0_1
480,4,59,group_0,user_0_3
481,39,661,group_0,user_0_5
482,38,2221,group_0,user_0_7
483,48,514,group_0,user_0_1
485,43,386,group_0,user_0_0
486,22,166,group_0,user_0_8
487,46,192,group_0,user_0_2
488,21,563,group_0,user_0_7
489,24,48,group_0,user_0_5
490,33,1222,group_0,user_0_8
491,1,25,group_0,user_0_6
492,13,84,group_0,user_0_9
493,19,457,group_0,user_0_6
494,47,677,group_0,user_0_2
495,38,544,group_0,user_0_8
496,29,524,group_0,user_0_9
497,20,160,group_0,user_0_1
498,24,118,group_0,user_0_8
499,11,247,group_0,user_0_6
501,11,150,group_0,user_0_3
502,1,613,group_0,user_0_7
503,42,258,group_0,user_0_9
506,3,1331,group_0,user_0_3
507,37,117,group_0,user_0_1
508,38,229,group_0,user_0_5
509,45,135,group_0,user_0_7
510,30,613,group_0,user_0_1
511,4,247,group_0,user_0_2
512,29,574,group_0,user_0_5
513,19,153,group_0,user_0_4
514,20,152,group_0,user_0_4
516,40,341,group_0,user_0_9
517,4,171,group_0,user_0_7
518,30,31,group_0,user_0_7
519,39,549,group_0,user_0_2
520,30,18,group_0,user_0_1
521,33,474,group_0,user_0_9
522,9,510,group_0,user_0_0
523,23,455,group_0,user_0_3
524,42,230,group_0,user_0_8
525,37,22,group_0,user_0_2
526,32,476,group_0,user_0_0
527,1,146,group_0,user_0_8
528,31,372,group_0,user_0_9
529,22,207,group_0,user_0_9
530,8,2916,group_0,user_0_1
531,17,411,group_0,user_0_1
532,20,4413,group_0,user_0_7
533,13,2643,group_0,user_0_8
534,10,320,group_0,user_0_3
535,14,282,group_0,user_0_1
536,29,872,group_0,user_0_3
537,36,917,group_0,user_0_2
538,18,1880,group_0,user_0_6
539,44,44,group_0,user_0_8
540,2,44,group_0,user_0_2
541,15,1079,group_0,user_0_2
543,28,146,group_0,user_0_5
545,19,305,group_0,user_0_0
547,24,141,group_0,user_0_1
548,26,716,group_0,user_0_6
549,9,225,group_0,user_0_5
550,34,404,group_0,user_0_9
551,15,842,group_0,user_0_5
552,35,64,group_0,user_0_9
553,13,99,group_0,user_0_1
554,42,102,group_0,user_0_2
555,43,367,group_0,user_0_2
556,48,169,group_0,user_0_5
557,29,474,group_0,user_0_3
558,48,55,group_0,user_0_6
559,12,630,group_0,user_0_8
560,21,1003,group_0,user_0_5
561,44,127,group_0,user_0_6
562,18,141,group_0,user_0_1
563,28,770,group_0,user_0_7
564,1,161,group_0,user_0_3
565,30,343,group_0,user_0_9
566,0,652,group_0,user_0_7
567,9,82,group_0,user_0_6
568,33,249,group_0,user_0_6
569,25,674,group_0,user_0_0
570,37,77,group_0,user_0_2
571,34,155,group_0,user_0_3
574,42,854,group_0,user_0_8
575,45,1127,group_0,user_0_3
576,0,219,group_0,user_0_5
577,24,2639,group_0,user_0_8
578,26,170,group_0,user_0_4
579,6,474,group_0,user_0_6
580,3,531,group_0,user_0_8
581,11,356,group_0,user_0_2
582,24,1880,group_0,user_0_3
583,41,518,group_0,user_0_8
584,25,383,group_0,user_0_2
585,34,163,group_0,user_0_8
586,38,355,group_0,user_0_0
587,47,382,group_0,user_0_7
588,38,4164,group_0,user_0_2
589,4,669,group_0,user_0_4
590,33,39,group_0,user_0_9
591,34,485,group_0,user_0_9
592,27,3699,group_0,user_0_0
593,39,61,group_0,user_0_2
594,45,33,group_0,user_0_8
595,46,574,group_0,user_0_0
596,35,554,group_0,user_0_1
597,9,707,group_0,user_0_2
598,25,1109,group_0,user_0_8
599,45,1227,group_0,user_0_3
600,5,1040,group_0,user_0_9
602,49,76,group_0,user_0_2
603,48,429,group_0,user_0_0
604,6,141,group_0,user_0_8
605,40,999,group_0,user_0_2
606,16,3688,group_0,user_0_4
607,44,143,group_0,user_0_0
608,38,451,group_0,user_0_2
609,12,409,group_0,user_0_9
610,49,1255,group_0,user_0_3
611,17,677,group_0,user_0_8
612,49,330,group_0,user_0_7
613,3,390,group_0,user_0_3
614,39,694,group_0,user_0_7
615,33,1030,group_0,user_0_1
616,29,2120,group_0,user_0_3
617,46,263,group_0,user_0_3
618,3,760,group_0,user_0_9
619,7,468,group_0,user_0_1
620,4,279,group_0,user_0_6
621,44,424,group_0,user_0_2
622,38,127,group_0,user_0_3
624,43,116,group_0,user_0_8
625,46,957,group_0,user_0_8
626,33,312,group_0,user_0_9
627,26,147,group_0,user_0_1
628,37,430,group_0,user_0_1
629,38,332,group_0,user_0_8
630,35,1144,group_0,user_0_8
632,44,1335,group_0,user_0_5
633,13,204,group_0,user_0_6
634,36,425,group_0,user_0_8
635,37,411,group_0,user_0_9
636,38,2199,group_0,user_0_7
637,4,1022,group_0,user_0_8
638,11,59,group_0,user_0_1
639,39,2035,group_0,user_0_5
640,19,468,group_0,user_0_0
641,17,86,group_0,user_0_3
642,9,1435,group_0,user_0_5
643,33,80,group_0,user_0_4
644,31,164,group_0,user_0_6
645,27,390,group_0,user_0_0
647,10,443,group_0,user_0_4
648,7,366,group_0,user_0_2
649,42,238,group_0,user_0_8
650,36,1802,group_0,user_0_8
651,34,650,group_0,user_0_0
652,4,15,group_0,user_0_3
653,33,957,group_0,user_0_2
654,11,107,group_0,user_0_1
655,2,1335,group_0,user_0_5
656,41,1019,group_0,user_0_7
657,16,457,group_0,user_0_7
658,28,0,group_0,user_0_7
660,44,317,group_0,user_0_8
662,12,1601,group_0,user_0_3
663,1,70,group_0,user_0_1
664,10,780,group_0,user_0_6
665,30,746,group_0,user_0_4
667,28,643,group_0,user_0_2
668,10,528,group_0,user_0_7
669,21,46,group_0,user_0_7
670,17,339,group_0,user_0_9
671,42,1427,group_0,user_0_4
672,10,656,group_0,user_0_0
674,27,29,group_0,user_0_3
675,15,0,group_0,user_0_8
677,41,5,group_0,user_0_0
678,27,171,group_0,user_0_9
679,34,1150,group_0,user_0_7
680,26,310,group_0,user_0_2
681,6,1276,group_0,user_0_8
682,8,300,group_0,user_0_9
683,8,404,group_0,user_0_2
684,41,356,group_0,user_0_2
685,42,1153,group_0,user_0_0
686,22,957,group_0,user_0_8
687,15,1146,group_0,user_0_3
688,13,560,group_0,user_0_1
689,49,943,group_0,user_0_4
691,19,341,group_0,user_0_1
692,27,180,group_0,user_0_6
693,24,351,group_0,user_0_9
694,2,689,group_0,user_0_0
696,35,402,group_0,user_0_7
699,36,383,group_0,user_0_8
700,11,26,group_0,user_0_9
701,33,290,group_0,user_0_2
703,23,671,group_0,user_0_7
704,47,153,group_0,user_0_1
705,29,75,group_0,user_0_5
706,33,124,group_0,user_0_4
707,7,557,group_0,user_0_6
708,26,102,group_0,user_0_0
709,22,681,group_0,user_0_5
710,29,626,group_0,user_0_8
711,44,712,group_0,user_0_2
712,10,736,group_0,user_0_5
713,46,244,group_0,user_0_1
714,32,13,group_0,user_0_0
715,13,108,group_0,user_0_5
716,43,371,group_0,user_0_6
717,18,1276,group_0,user_0_2
718,8,459,group_0,user_0_8
719,23,1108,group_0,user_0_6
720,9,267,group_0,user_0_0
721,34,413,group_0,user_0_8
722,46,298,group_0,user_0_7
723,14,661,group_0,user_0_1
724,30,68,group_0,user_0_0
725,4,7,group_0,user_0_3
726,2,578,group_0,user_0_1
727,5,677,group_0,user_0_4
728,10,113,group_0,user_0_0
729,27,774,group_0,user_0_0
730,32,46,group_0,user_0_1
731,49,774,group_0,user_0_0
732,34,612,group_0,user_0_3
733,16,468,group_0,user_0_3
734,33,404,group_0,user_0_6
735,22,244,group_0,user_0_9
736,16,1212,group_0,user_0_4
737,10,367,group_0,user_0_5
738,13,116,group_0,user_0_2
739,18,124,group_0,user_0_8
740,26,616,group_0,user_0_5
741,13,958,group_0,user_0_4
742,7,156,group_0,user_0_1
744,31,536,group_0,user_0_1
746,34,507,group_0,user_0_2
748,27,943,group_0,user_0_7
750,32,782,group_0,user_0_8
751,29,166,group_0,user_0_2
752,16,205,group_0,user_0_4
753,49,518,group_0,user_0_3
754,0,377,group_0,user_0_8
755,26,426,group_0,user_0_1
756,42,20,group_0,user_0_3
757,44,179,group_0,user_0_2
758,19,380,group_0,user_0_1
759,13,386,group_0,user_0_9
761,20,524,group_0,user_0_2
762,16,999,group_0,user_0_9
763,14,468,group_0,user_0_3
764,41,279,group_0,user_0_3
768,44,588,group_0,user_0_8
769,6,278,group_0,user_0_1
770,17,111,group_0,user_0_3
771,20,138,group_0,user_0_7
772,17,457,group_0,user_0_8
773,44,693,group_0,user_0_6
774,40,16,group_0,user_0_8
775,48,465,group_0,user_0_3
776,49,760,group_0,user_0_3
777,29,413,group_0,user_0_5
778,29,160,group_0,user_0_2
779,30,70,group_0,user_0_3
780,13,822,group_0,user_0_9
782,44,264,group_0,user_0_7
783,24,872,group_0,user_0_7
784,42,903,group_0,user_0_8
785,21,694,group_0,user_0_5
786,48,736,group_0,user_0_6
787,19,165,group_0,user_0_0
788,27,15,group_0,user_0_6
789,44,856,group_0,user_0_4
790,25,322,group_0,user_0_6
792,22,2120,group_0,user_0_7
793,36,804,group_0,user_0_0
794,12,290,group_0,user_0_5
795,33,1276,group_0,user_0_8
796,29,278,group_0,user_0_6
797,36,120,group_0,user_0_6
799,26,200,group_0,user_0_1
801,6,206,group_0,user_0_2
802,43,605,group_0,user_0_9
803,28,87,group_0,user_0_1
804,35,1255,group_0,user_0_8
805,18,155,group_0,user_0_4
806,16,13,group_0,user_0_8
807,28,24,group_0,user_0_0
808,5,165,group_0,user_0_1
809,15,450,group_0,user_0_2
810,27,284,group_0,user_0_5
811,9,450,group_0,user_0_9
812,47,2035,group_0,user_0_2
813,37,999,group_0,user_0_6
814,46,290,group_0,user_0_8
817,13,429,group_0,user_0_2
818,38,791,group_0,user_0_9
819,8,409,group_0,user_0_2
820,45,3258,group_0,user_0_1
821,36,1108,group_0,user_0_5
822,12,39,group_0,user_0_3
823,45,12,group_0,user_0_1
824,10,465,group_0,user_0_0
825,3,2392,group_0,user_0_8
827,35,236,group_0,user_0_0
828,44,355,group_0,user_0_1
829,27,123,group_0,user_0_1
830,8,626,group_0,user_0_8
831,2,184,group_0,user_0_1
832,45,716,group_0,user_0_0
833,19,316,group_0,user_0_0
834,34,2639,group_0,user_0_0
835,28,164,group_0,user_0_8
837,49,5,group_0,user_0_9
838,1,450,group_0,user_0_5
842,3,1256,group_0,user_0_7
843,25,1417,group_0,user_0_6
846,34,1601,group_0,user_0_7
847,0,50,group_0,user_0_6
848,16,677,group_0,user_0_8
849,46,160,group_0,user_0_9
850,13,941,group_0,user_0_9
851,35,853,group_0,user_0_9
853,34,207,group_0,user_0_4
854,40,303,group_0,user_0_4
857,15,72,group_0,user_0_7
858,41,59,group_0,user_0_0
859,45,513,group_0,user_0_8
861,35,392,group_0,user_0_9
862,21,411,group_0,user_0_1
863,17,999,group_0,user_0_6
864,41,535,group_0,user_0_6
865,12,1139,group_0,user_0_3
866,20,118,group_0,user_0_6
867,15,18,group_0,user_0_8
869,47,1188,group_0,user_0_0
871,40,3516,group_0,user_0_1
873,12,650,group_0,user_0_4
874,20,1222,group_0,user_0_7
875,19,215,group_0,user_0_8
876,49,402,group_0,user_0_5
877,44,440,group_0,user_0_2
878,34,1139,group_0,user_0_4
879,46,1671,group_0,user_0_7
881,40,96,group_0,user_0_8
882,13,181,group_0,user_0_1
883,34,166,group_0,user_0_7
884,31,510,group_0,user_0_6
885,24,160,group_0,user_0_5
886,40,563,group_0,user_0_3
887,21,94,group_0,user_0_3
888,34,872,group_0,user_0_9
889,42,376,group_0,user_0_7
890,46,650,group_0,user_0_2
892,44,253,group_0,user_0_0
893,4,853,group_0,user_0_9
894,40,35,group_0,user_0_2
895,38,93,group_0,user_0_1
896,35,1019,group_0,user_0_1
897,14,77,group_0,user_0_1
898,26,297,group_0,user_0_5
901,23,425,group_0,user_0_3
902,26,78,group_0,user_0_4
903,24,1150,group_0,user_0_3
904,16,114,group_0,user_0_9
905,1,344,group_0,user_0_1
906,42,218,group_0,user_0_1
907,11,42,group_0,user_0_7
908,32,1412,group_0,user_0_4
909,24,249,group_0,user_0_6
910,7,46,group_0,user_0_0
911,43,659,group_0,user_0_9
912,2,139,group_0,user_0_8
913,12,574,group_0,user_0_6
915,43,762,group_0,user_0_5
918,30,1146,group_0,user_0_8
919,3,7,group_0,user_0_8
922,8,162,group_0,user_0_5
923,44,679,group_0,user_0_3
924,28,267,group_0,user_0_5
925,13,169,group_0,user_0_9
927,22,448,group_0,user_0_6
928,6,298,group_0,user_0_5
929,49,1527,group_0,user_0_9
930,20,155,group_0,user_0_4
931,2,588,group_0,user_0_3
932,47,342,group_0,user_0_8
933,10,19,group_0,user_0_9
934,37,782,group_0,user_0_6
939,40,77,group_0,user_0_7
941,44,937,group_0,user_0_9
942,18,2639,group_0,user_0_1
943,29,1671,group_0,user_0_5
944,29,192,group_0,user_0_9
946,6,2639,group_0,user_0_2
947,48,565,group_0,user_0_8
949,48,204,group_0,user_0_6
950,18,511,group_0,user_0_1
951,29,507,group_0,user_0_5
952,18,250,group_0,user_0_4
953,16,277,group_0,user_0_0
954,39,572,group_0,user_0_4
955,25,1242,group_0,user_0_6
956,42,135,group_0,user_0_9
959,28,2559,group_0,user_0_9
